title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
Image Lab,Abdullah Ranginwala,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/01-Abdullah-Ranginwala-Image-Lab.md,"Ivantha, Sahan_Dissanayaka",SCoRe Lab,"javascript, opencv, nodejs, electron",image processing,The proposed project aims to revamp the entire front-end of the app. The new front-end will be built using React on top of Electron to match industry standards. The project will also include adding a test suite and updating the documentation. The proposed changes will make ImageLab a more comprehensive and user-friendly tool for anyone looking to get started with image and video processing.,https://summerofcode.withgoogle.com/programs/2023/projects/0BLb9KSk
Varnish Cache support in Apache Traffic Control,AbdulrahmanElawady,https://abdelrahmanelawady.github.io/GSoC-2023/,Eric Friedrich,Apache Software Foundation,"golang, Varnish","CDN, Cache",Apache Traffic Control is a Content Delivery Network that that requires Apache Traffic Server as the underlying cache. The goal is to extend the caching configuration to support Varnish cache and update Traffic Monitor to monitor Varnish state.,https://summerofcode.withgoogle.com/programs/2023/projects/Y9YXNhle
"Frontend Improvements for BuffaLogs, Intelowl.",Abheek Tripathy,https://abheektripathy.substack.com/p/frontend-improvements-for-buffalogs,"Matteo Lodi, Daniele Rosetti, Aditya Narayan Sinha, Federico Foschini",The Honeynet Project,"python, django, docker, typescript, Next.js","security, graphics, OSINT","I propose to improvising frontend for BuffaLogs, implementing graphs, maps for better data visualisations plus authentications using JWT. I would also work on refactoring intelowlproject's website with an updated design and feature set and working on guides/ui adjustments for Intelowl itself.",https://summerofcode.withgoogle.com/programs/2023/projects/TO4HPglC
Overhauling Uptane.io: Creating a Better User Experience for the Uptane Project Website,Abhijay jain,https://github.com/Abhijay007/Uptane-GSoC-Report/blob/main/GSoC-2023-Uptane-Final-Report.md,"Ira McDonald, Lois DeLong, Phil Lapczynski",The Linux Foundation,"javascript, react, ruby, ui/ux, Jekyll, Docusaurus","security, web","Uptane is an important project that provides secure software updates for connected vehicles, and it needs to offer a better experience to its users to encourage the adoption of the technology. The project's website is the primary source of information for users and developers, and it's essential that the information is easy to access and understand. The current website has a lot of information. However, it's not well organized. It's difficult for a new user to find the essential information they need. The navigation through the site is also challenging. All of these factors could discourage new users from adopting the system. The goal of this project is to overhaul the Uptane.io website to create a better user experience through more logical organization and easier navigation.",https://summerofcode.withgoogle.com/programs/2023/projects/QDCxHcPz
1.1 Integrate Zenodo API with The Virtual Brain,Abhijit Deo,https://gist.github.com/abhi-glitchhg/5fc28c1bae62104f7cf507b453cd72a0,"Lia Domide, romina.baila",INCF,"python, Zenodo","neuroscience, data processing","The Virtual Brain (TVB) is a scientific simulation platform that provides all means to generate, manipulate and visualize connectivity and network dynamics of the brain networks. Researchers in Computational Neuroscience use brain network models to understand the dynamic behavior of the healthy and diseased brain, as measured by various neuroimaging techniques such as fMRI, EEG, and MEG. TVB is currently the only neuroinformatics project providing a platform for researchers to work together on modeling studies using brain network models with realistic connectivity. The modeling of the simulations requires datasets generally hosted on data storage platforms like Zenodo, OpenSourceBrain, EBRAINS, etc. One has to download the dataset manually, unzip it and then use it inside the web GUI. Instead of manually downloading and unzipping the data, the project's goal is to have a dedicated framework to manage the downloading and unzipping the dataset from remote sources. Right now, we are focusing on the Zenodo platform, but there are other platforms like OpenSourceBrain and EBRAINS for which we would like to extend the downloading functionality.",https://summerofcode.withgoogle.com/programs/2023/projects/dtJuOy2s
Music Blocks v4 Project Builder Integration,Abhinav Jha,https://gist.github.com/ABHINAV-JHA-27/b8134cb95e9304ee1bc38dde666432b0,"Walter Bender, Anindya Kundu",Sugar Labs,"javascript, react, typescript",web,"The new Project Builder Framework for Music Blocks v4 will revolutionize the way children and beginners learn programming. To implement this project, we will integrate the Project Builder Framework with the new Music Blocks and wrap it in a component to facilitate easy integration with the Specification and Syntax Tree APIs. Additionally, we will create a palette component and refactor the existing codebase. The final Result after the Implementation of idea will provide kids to learn Programming concepts in an integrative and fun way. This project is a significant step towards the complete new Music Blocks, with a focus on performance improvements and new features. Leveraging modern JavaScript technologies and a better application architecture, the new Music Blocks will ensure a smooth and reliable user experience. Overall, this project has the potential to transform the way we teach programming to children and beginners, making it more accessible and enjoyable for everyone.",https://summerofcode.withgoogle.com/programs/2023/projects/enTZ8jSS
Fineract Modularization,Abhinav Sinha,https://medium.com/@abhinav7.sinha/gsoc-2023-mifos-initiative-work-product-a03fe87073a9,"Ed Cable, Sanyam Goel, Aleksandar",The Mifos Initiative,"java, Spring Boot","web, Modularization, Application Modernization","This project aims to modularize Fineract, an open-source financial services platform, by creating independent Java libraries that can be used be used by developers. Fineract manages clients, transactions, accounts, and other financial activities for financial service providers. It is designed to be robust, reliable, and customizable, allowing for integration with third-party systems. As the software has evolved over time, it has become increasingly complex and monolithic—leading to the need for this project.",https://summerofcode.withgoogle.com/programs/2023/projects/rNVQgU0u
Implement pgr_withPointsKSP and Add Overloads,Abhinav_Jain,https://github.com/pgRouting/pgrouting/wiki/GSoC-2023-Implement-pgr_withPointsKSP-and-Add-Overloads,"Ashish-Kumar, Vicky Vergara",OSGeo (Open Source Geospatial Foundation),"postgresql, c++, gis, Graph Theory","c++, software development, Graph Theory, dijkstra","The project aims to implement pgr_withPointsKSP and all its overloads. Yen's algorithm computes single-source K-shortest loopless paths for a graph with non-negative edge cost. It employs any shortest path algorithm to find the best path, then proceeds to find K − 1 deviations of the best path. Sometimes the applications work “on the fly” starting from a location that is not a vertex in the graph. Those locations, in pgRouting, are called points of interest. So this function will modify the graph to include these points of interest and, using Yen’s Algorithm finds K shortest paths.",https://summerofcode.withgoogle.com/programs/2023/projects/6SNYZ0ph
Embedded Chat 2023,abhinavkrin,https://github.com/abhinavkrin/GSoC-RocketChat-2023,Sidharth Mohanty,rocket.chat,"javascript, react, react native","web, communication, Component Library, npm package","A Rocket.Chat channel could be embedded into some existing web applications via the Embedded Chat component. Currently, the available integration surface and features of Embedded Chat are rather limited. This project aims to significantly expand the applicability of Embedded Chat to a wider range of web/mobile applications built on the most popular frameworks such as React, React Native, and more; and hosting platforms such as WordPress and Ghost via HTML embedding. The goals of the project are: ● Separating various parts of the project into their package - API, react, react native, auth, etc. ● Reducing the bundle size. Currently, it is very large. ● Replacing HTTP calls with real-time DDP communication wherever necessary. ● Creating libraries for react-native, react, etc. ● Giving more flexibility in authentication methods. ● Slash command support ● Introducing theming for client libraries ● HTML embed",https://summerofcode.withgoogle.com/programs/2023/projects/sUXGt89N
Mifos Mobile 6.0 - Mobile Banking App - GSoC proposal for The Mifos Initiative,Abhishek Gururani,https://gist.github.com/gururani-abhishek/0aec195d1affcf4303c770e72f641a8f,"Chirag Gupta, Ahmad Jawid Muhammadi",The Mifos Initiative,"android, kotlin, espresso, RESTAPI, Retrofit, Okhttp","mobile development, android, Kotlin, RestAPI, UI Testing, RETROFIT","Mifos Mobile is an android application designed for client use, which facilitates user authentication, account information viewing and editing, as well as internal transactions and repayments. In my proposal I've mentioned 4 additions to the current Mifos Mobile application. 1. Replacing the current API layer from self-service Fineract APIs to Open Banking APIs 2. Providing the user 24/7 customer chat support using RocketChat 3. Integrating external payment system, Mojaloop via the Payment Hub. 4. Covering all the screens with UI tests using Espresso. The proposed enhancements to Mifos Mobile application are expected to have a significant positive impact on the user experience. By replacing the existing API layer with Open Banking APIs, clients will be able to enjoy seamless and more secure transactions. The provision of round-the-clock customer chat support through RocketChat will ensure that users receive prompt assistance whenever they require it. Integration of Mojaloop through the Payment Hub will enhance the application's payment capabilities, and it's reach. Lastly, the coverage of all screens with UI tests using Espresso will improve the overall reliability and robustness of the application, leading to increased user satisfaction.",https://summerofcode.withgoogle.com/programs/2023/projects/BjEIeqaA
Converting past R Journal articles to HTML using texor,Abhishek Ulayil,https://rpubs.com/Abhi_1U/gsoc-23,"Di Cook, Mitchell O'Hara-Wild",R project for statistical computing,"lua, r, latex, rmarkdown, Pandoc","automation, Document Conversion","During GSoC 22, I worked on the texor package which converts the Legacy(LaTeX) Rjournal articles to modern(Rmarkdown) format. This year the focus would be to aid in more thorough documentation, converting all the Rjournal articles and fixing any issues that may arise. There is also scope for generalizing the conversion process for other document formats (like sweave) as well.",https://summerofcode.withgoogle.com/programs/2023/projects/4ygPTJA9
DSP hard block integration in F4PGA,Abhishek_Anand,https://gist.github.com/ad-astra-et-ultra/d5ac9599746301345fdb402823634565,Maciej Kurc,CHIPS Alliance,"python, verilog, c++, Vivado, Yosys","fpga, IP cores, HDL","F4PGA is an open-source FPGA toolchain designed as a free alternative to proprietary computer-aided design tools like Xilinx’s Vivado. Currently, mapping designs to DSP blocks and generating DSP block bitstreams are not implemented for the Xilinx 7-series FPGA devices within the toolchain. This project aims to integrate DSP48E hard block in F4PGA. This will enable designs using DSPs to be synthesized, placed, and routed correctly. We need to diagnose and implement required changes throughout the F4PGA toolchain, allowing for DSP design bitstreams to be successfully generated with open-source tools. Deliverables: 1. Support for DSP48E within the F4PGA architecture definitions. 2. Testing flow for designs using Xilinx 7-series DSP hard blocks which include Verilog-to-Bitstream using the F4PGA toolchain, Fasm2bels to re-generate the original netlist from the bitstream output of F4PGA and Proof-test through Vivado to verify the correctness of the netlist.",https://summerofcode.withgoogle.com/programs/2023/projects/mSq56goy
Add a web user interface to XaoS,abhishek_tiwari,https://github.com/tabhishek432/GSoC-2023-xaos,"Zoltan Kovacs, Anurag Aggarwal",GNU Project,"javascript, opengl, c++, qt, html, webassembly","web, programming, software","The project aims to enable XaoS, a fractal program, to function effectively on web browsers through the use of Qt. Currently, XaoS requires the user to download and install the software, which limits its accessibility. However, the current implementation of XaoS using Qt web assembly is not functioning well on web platforms due to issues with the synchronous, infinite loop used in XaoS's event loop. Browsers typically run JavaScript, which is single-threaded and relies on asynchronous events to avoid blocking the main thread, making the current implementation unsuitable. The proposed solution is to use a QTimer to periodically update the fractal using UIH functions. By refactoring the code to use a QTimer, XaoS can be made compatible with browser architecture and enable a single Qt source code for implementation across different platforms.",https://summerofcode.withgoogle.com/programs/2023/projects/3R0aNcqK
Frontend and Backend Integration in Codelabz,Abhishek-Pandey,https://github.com/c2siorg/GSoC/blob/master/GSoC-2023/02-Abhishek-Pandey-Codelabz.md,"Mohammad Sarfraz Alam, Thanda Mahender Goud",SCoRe Lab,"javascript, nodejs, reactjs, Firebase","web, cloud","CodeLabz is a platform where users can engage with online tutorials and organizations can create tutorials for the users. Currently, the Project doesn't use dynamic data, Some pages are inconsistent with the design system, and new pages are required. This project focuses on making the necessary UI changes to the websites and also creating a proper functional backend using Firebase services to make the site functional and deploy the first working prototype of the site.",https://summerofcode.withgoogle.com/programs/2023/projects/uT9XSYT8
Improving Polynomial GCD,AbhishekPatidar,https://github.com/sympy/sympy/wiki/GSoC-2023-Report-Abhishek-Patidar-:-Improving-Polynomial-GCD,"Kalevi Suominen, Oscar Benjamin",SymPy,python,Abstract algebra and of algorithms.,"The project aims to add new algorithms for computing the greatest common divisor (GCD) of polynomials in the sparse representation in order to improve the speed of many parts of sympy such as matrices, solvers, integration, and simplification functions. Currently, the slow speed of polynomial GCD impacts many operations in SymPy, leading to heavy performance penalties and avoiding the use of domain elements in some algorithms. By improving the speed of polynomial GCD algorithms, many parts of SymPy could become faster, and the use of GCD could become more widespread. This project could significantly enhance the overall performance and usability of SymPy.",https://summerofcode.withgoogle.com/programs/2023/projects/JBxiR5tN
Idea 22.3 - Abhishek Tiwari - Code editor support for Brian model equations,AbhishekTiwari,https://github.com/brian-team/brian-code-editor,"Marcel Stimberg, Dan Goodman, Ben Evans",INCF,"python, javascript, json, asynchronous programming, VS Code LSP, grammar skills, TextMate","web development, scientific computing, Computational Neuroscience, Extension Development","This project involves creating a VS Code extension that provides enhanced support for the Brian2 neural simulator. The extension aims to improve the user experience and productivity of those working with Brian2 by offering syntax highlighting, syntax checking, auto-completion, and language server protocol (LSP) support. These features will be implemented using various programming languages and tools, including Javascript, Python, and the LSP protocol. The deliverables for this project include a fully functional extension that can be installed and used with VS Code, as well as documentation on how to install and use the extension. The extension will be designed to work seamlessly with Brian 2 and will provide a user-friendly interface that is easy to use and navigate.",https://summerofcode.withgoogle.com/programs/2023/projects/s6SQkLzI
Pydata/Sparse: Merge lattices to enable C++ compile-time dispatch of sparse ndarrays,adam2392,https://github.com/hameerabbasi/xsparse,"czgdp1807, Bharath K K, Hameer Abbasi",Python Software Foundation,"c++, Template Meta Programming","machine learning, data science, Sparse arrays","There is currently no robust and unified sparse ndarray library that is compliant with the numpy API. This prevents the substitution of sparse arrays for dense arrays when needed in many data science workflows. PyData/Sparse is a repository that presents an opportunity to address these issues. In order to do so, there needs to be a C++ implementation of a code-generation algorithm that can generate efficient code for any type of sparse tensor operation. This abstraction allows one to maintain a relatively small piece of code that enables functionality for an exponential number of different sparse array format operations. The main objective of the project is to implement, test and document the merge lattice and its related data structures and algorithms that are vital for code-generation. This will result in a generalizable code-generation algorithm that can be applied for implementing a variety of different sparse ndarray formats that work together. This will involve interfacing heavily with the existing C++ code and its implemented templates to add functionality that constructs and manipulates a merge lattice, which is a useful abstraction in code-generation for sparse tensor algebra operations. As a few stretch goals, I plan on: i) implementing abstractions of what a sparse array is and what operations can be done that leverage this underlying core API, ii) finishing the co-iteration algorithm to account for non-unique and non-ordered levels and iii) begin work on the actual code-generation algorithm that leverages the merge lattice.",https://summerofcode.withgoogle.com/programs/2023/projects/dCzMvucW
Improve and enhance 3DMol.js,Adithya Krishna V Sharma,https://gist.github.com/adithyaakrishna/33c35519edaa8cac130ec4a96800c93f,dkoes,Open Chemistry,"python, javascript, opengl, typescript","web, graphics, Visualizations, Molecular Data, Atoms, Molecular Structures, Javascript Toolkit, Molecular Representations","The 3DMol.js library size is quite large, but can be optimized by using const instead of var, array destructuring, global constants, and the Float32Array class. Functions can be made more performant by reusing variables, using default function arguments, and caching repeated values. Reducing conditional checks, using switch statements, and avoiding redundant calculations can also improve performance. Using squared distance, subarray method, and reducing branching can also help optimize the library. CodeQL workflow can be added for security purposes.",https://summerofcode.withgoogle.com/programs/2023/projects/r2fhQb5e
Implementation of a plane wave source,Adittya,https://github.com/gprMax/gprMax/pull/373,"Antonis, Iraklis Giannakis",gprMax,"python, cython, matlab","simulation, numerical methods, Electromagnetism, Differential Equations","The objective of the project would be implement a plane wave source in gprMax. It is mentioned that it would be done by `translating existing MATLAB code into Python'. However, it is more nuanced that that. Plane wave sources are a useful tool in multiple different scenarios of electromagnetic simulations, especially when the wave is emitted by a source that is quite far away from the target or maybe even multiple targets. Currently, such a source does not exist in gprMax. This project will involved translating existing code written by one of the mentors, taking the idea that has been shown to work as a MATLAB script and place it in a much larger environment, gprMax, in Python, blending it seamlessly with the other sources available in gprMax. Implementation of a simple plane wave source, propagating in a homogeneous medium seamlessly with the other sources available in gprMax. This functionality was long ago when gprMax was coded in C, and need to be reintroduced.",https://summerofcode.withgoogle.com/programs/2023/projects/QbO6y5Xj
Add Mutation Diagram on Study View for Enhanced Mutation Analysis,Aditya Garg,https://gist.github.com/aditygrg2/1e20071a8b0ca0168a8d286e7b1d4755,"Onur Sumer, Charles Haynes, Bryan Lai",cBioPortal for Cancer Genomics,"javascript, react, html, css, typescript","web, genomics, cancer","This proposal aims to add a mutation diagram to the study view will enhance the mutation analysis capabilities of cBioPortal. The mutation diagram will display the distribution of mutations across different genes, samples, and mutation types within a study. This interactive diagram will allow users to explore mutation data in a way that is more intuitive and informative than simple tables or charts. Users will be able to select specific samples and mutation types and see the distribution of mutations across different genes and samples.",https://summerofcode.withgoogle.com/programs/2023/projects/uvgCfYuK
Adding new workers and resource management to new dataflow engine written in Python: Pydra,Aditya Agarwal,https://docs.google.com/document/d/e/2PACX-1vR7ONsUkzGpxXYwnXdT4aMur9lYefrLzVhoLnlN_pFMb7X9jCzxN5lsr9TSdJeigf7RuZQNX7_Z3SGt/pub,"satra, DOROTA JARECKA, Ghislain Vaillant",INCF,"python, docker, dask, Pytest, Bokeh, Pydra, PSI/J, Nipype","hpc, Schedulers","My proposal aims to extend Pydra's worker classes to handle a wider range of systems by utilizing PSI/J, which offers a unified API for various schedulers. The objective of this project is to create a Pydra worker class capable of submitting and monitor jobs on different HPC systems, such as Theta, using PSI/J. Furthermore, I intend to use Bokeh to construct an interactive web-based dashboard that will monitor the jobs being submitted and executed by the Pydra worker. The expected outcome of this project is a Pydra worker that can use PSI/J to submit and track jobs on various HPC systems, an updated Dask worker, as well as a jobs monitoring dashboard. The proposed methodology involves designing and implementing the Pydra worker class, evaluating its functionality and performance on various systems, comparing it to existing Pydra workers, and constructing a Pydra dashboard using Bokeh to monitor the jobs. Finally, I will document the usage and installation of the Pydra worker with PSI/J, as well as the Pydra dashboard, and provide users with examples and tutorials. The project timeline includes a community bonding phase from May 4 to 28, followed by an extended coding period from May 29 to September 17.",https://summerofcode.withgoogle.com/programs/2023/projects/d8SQBLVj
Dynamic notification of whether a component is implemented in iOS,Aditya B N,https://adirn26.github.io/Google-Summer-Of-Code-Submission/,Evan Patton,MIT App Inventor,"javascript, java, gwt, Android Development","web, android","The primary objective of this project is to enhance the user experience of MIT App Inventor by providing users with information about the availability of components on iOS or Android platforms. To achieve this, proposed changes will be made to the Designer editor code to enable users to determine whether a component is accessible on a particular platform or both. The coverage.json file will be utilized to extract information about the availability of components, which will be represented by iOS or Android icons displayed on the palette items and a text displaying if the component is exclusive to any of the platforms(Android or iOS) on palette Help Popup dialog box. Furthermore, a dialog box will inform users about unsupported components when they connect their devices through the AI companion. The proposed modifications will empower users to make informed decisions when creating their applications, resulting in higher-quality apps that cater to user needs and expectations.",https://summerofcode.withgoogle.com/programs/2023/projects/j7UZETHS
Multilingual Neural Data-to-Text Generation,Aditya Hari,https://github.com/aditya-hari/multilingual-rdf-to-text,"Diego Moussallem, Nikit",DBpedia,python,"machine learning, natural language processing, deep learning","This project focuses on the problem of multilingual data-to-text generation from RDF triples. In particular, the work will revolve around the analyzing the performance of different neural architectures in tackling this problem, while also exploring how methods like data augmentation can improve performance",https://summerofcode.withgoogle.com/programs/2023/projects/7onLs2cK
Improved Installation Tools,Aditya Saini,https://medium.com/@adityasaini10012001/google-summer-of-code-23-work-submission-dd61d8254d3c,"Antonis, Iraklis Giannakis, Rania Patsia",gprMax,"Python, Cython, tools and compilers on multiple (Linux, Windows, macOS) operating systems",Installation Tools,"The benefits of creating a simplified and more user-friendly installation workflow for gprMax software are: Improved user experience , Increased accessibility , Time-saving , Increased usage and adoption Improved performance:",https://summerofcode.withgoogle.com/programs/2023/projects/HIvD1YHY
Google Developers Community Visualization Tool,AdityaKumar,https://gist.github.com/soCallmeAdityaKumar/47419801a0c22f743eddd4f15f82b76f,"Andreuibanez, Yash Raj",Liquid Galaxy project,"kotlin, graphql","maps, android, Google Assistant, TextToSpeech",Many members of Google Developers Groups are available on Meetup . So I want to develop a platform which will make developers easily to get all upcoming meets and last 7 day meets . All previous events photos will be available on the app. Maps will show the concentration of the developers globally . User can show all updates on events on the app itself.,https://summerofcode.withgoogle.com/programs/2023/projects/7mnhMUjo
Guided RC Code Walkthrough and Tutorial,AdityaSingh-02,https://github.com/AdityaSingh-02/Gsoc-23,"Sing Li, Kevin Aleman",rocket.chat,"mongodb, react, nodejs, typescript, Visual studio Code tour extension",Social and Communication,"Description- This Project is related to a Code tour using Visual Studio Code Tour Extension and the main focus of this project is to make the development and understanding of the codebase Easier for the new contributors who are new to Open-Source and create future Gsoccers. Since Rocket.chat's codebase is huge, many new developers face problem understanding code and they find it overwhelming, It would be great to motivate them to work towards Open-Source community",https://summerofcode.withgoogle.com/programs/2023/projects/UAKFA26X
Integrating libcamera into OpenCV,Advait Dhamorikar,https://advait-0.github.io/GSoC23/Final-Report/,"epaul, uajain",libcamera,"opencv, c++, v4l2","vision, Camera Stack","This project aims to move the current V4L2 implementation of accessing and controlling cameras in OpenCV to libcamera, this will allow for better functionality for more advanced and complex cameras. This will be done by creating a videoio plugin for OpenCV to support libcamera and then creating suitable classes and functions to add the desired functionality.",https://summerofcode.withgoogle.com/programs/2023/projects/lKttObKa
