title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
[Haskell.org] Support more LSP features in Haskell Language Server,Aarush Bhat (sloorush),https://blog.sloorush.com/posts/gsoc-hls/,Michael Peyton Jones,Haskell.org,"haskell, Language Server Protocol, haskell language server","programming languages, language","This project proposes various new features for the haskell language server(HLS). While HLS already comes with the most important ones, a few haven’t been implemented yet. These important unimplemented features of Language Server Protocol(LSP) have to be implemented. Namely, Semantic Highlighting, Folding ranges, Linked editing, Change Annotation, Document links, and Completion / Code Action / Code Lens resolving.",https://summerofcode.withgoogle.com/programs/2022/projects/sQlM6bPH
GSoC Project Proposal for Flashrom,Aarya,https://blogs.coreboot.org/blog/2022/09/08/gsoc-optimize-erase-function-selection-wrap-up/,"Thomas Heijligen, Simon_B",Flashrom,"c, x86, bios, rom, spi, flash",Optimize Erase-Function Selection,"The write operation in flash can only change bits in a specific way and the erase operation changes all the bits of a block to 1s. So to modify any bit the whole block needs to be copied to another memory, erased on the flash, and then copied again from the other memory with the change. Due to this “erase overhead” write operations may require copying a lot of data to modify a small amount. Most flash chips support multiple erase-block sizes and flashrom keeps a list of these sizes and ranges for all supported flash chips. Currently, flashrom tries these functions one by one and uses the same function until the operation is completed or an error occurs. Usually, the first function works correctly but this function erases the smallest erase-block so flashrom would have to use it multiple times to complete the erase operation on a large region, which could have been done more efficiently using functions using larger erase-blocks, thus resulting in a transaction overhead. If a large erase-block size to erase a small region is chosen it would result in a larger erase overhead. So the erase-block size should be picked according to the size of the region left to be erased. Also checking in advance to tell if the programmer supports the given erase function and then sorting the supported functions in order of the erase-block sizes can further help the function selection.",https://summerofcode.withgoogle.com/programs/2022/projects/upN80V5b
Flutter Community Admin Dashboard,Abdelrahman Amer,https://github.com/fluttercommunity/admin_dashboard,Majid Hajian,Dart,"flutter, dart, Firebase","github, Flutter, Infographics, Java Spring Boot","The Flutter Community provides several packages to the community and pub. dev that all differ in regards to maintenance requirements. The Flutter Community admins struggle to keep up with all of the changes, releases, changelogs, and activities on all packages. To solve this, we are looking to implement a Flutter Community Dashboard that assists admins by rounding up and providing the admins with information regarding issues, latest activities on repositories, maintainers, level of access and implementing a trigger to build and deploy to pub. dev, and more. The set of deliverables are as follows: 1. The flutter frontend 2. Firebase Backend 3. AI tool 4. Testing 5. Documentation",https://summerofcode.withgoogle.com/programs/2022/projects/3VtQj1eI
"Lpython: Implementation of Strings functionalities, interactivity and parser benchmark",Abdelrahman Khaled Fouad,https://gist.github.com/Abdelrahman-Kh-Fouad/5052d6c7edc86ae03021a8a7c0ef8a08,"Ondřej Čertík, czgdp1807",Python Software Foundation,"llvm, c++, compilers",compilers,"This project in Lpython and LPython is a Python compiler. It is in heavy development, currently in pre-alpha stage. Some of the goals of LPython, my project will add three features in compiler.",https://summerofcode.withgoogle.com/programs/2022/projects/TGkXiTz6
Integration of Compressed (C) extension in NucleusRV core,Abdul Wadood,https://github.com/merledu/nucleusrv/pull/42,Usman Zain,Micro Electronics Research Lab - UITU,"chisel, risc-v","embedded systems, computer architecture, Digital System Design, Microprocessor Systems","The project deals with the integration of RISC-V Compressed Extension into the NucleusRV core. For most embedded processors, the size of programmable memory is a huge limitation. Most of the frequently used instructions can be compressed i.e. compiled into 16-bits instead of 32-bits. We can perform a better utilization of memory by adding extra hardware to handle the compressed instructions. This project aims to: * Design the compressed decoder and pre-fetch modules for NucleusRV core for Compressed Instructions support. * Verify the working of the project using RISC-V Compliance test suit * Document the complete project and guide on how to integrate the C extension support of RISC-V based cores written in SCALA.",https://summerofcode.withgoogle.com/programs/2022/projects/8tdgm8kB
libvirt-CI: Support for container executions in libvirt's lcitool using a container library binding,Abdulwasiu Apalowo,https://bazzan.hashnode.dev/gsoc22-final-report,"Erik Skultety, Pavel Hrdina",libvirt,"python, Podman, podman-py","continuous integration, software, Containerization, Restful API","Libvirt has a tool called lcitool which is used for managing the CI need for libvirt and related projects. Improvements will be made to the system toward extending the container functionality to build a container locally, and execute workloads in the container. This will give libvirt developers and maintainers the ability to debug in a project specific manner among other use cases. The goal of the project is to use podman-py, a python binding for the RESTful API of podman services , to implement this feature.",https://summerofcode.withgoogle.com/programs/2022/projects/VQiBk1ub
Implementation of QGANs to Perform High Energy Physics Analysis at the LHC,Abhay Kamble,https://github.com/abzsd/GSoC-ML4SCI,"ML4SCI, Emanuele Usai, Abdulhakim Alnuqaydan, Ali Hariri",Machine Learning for Science (ML4SCI),"c, python, c++, tensorflow, keras, Cirq","Quantum Machine Learning, GAN, High Energy Physics, Generative Adversarial Networks, Classical Machine Learning","One of the challenges in High-Energy Physics(HEP) is fast simulation of particle transport, and hence various deep neural network methods have been studied for reducing the time-consumption. The Generative Adversarial Networks(GANs) have achieved similar performance as the full Monte Carlo based simulation, but with reduced time taken. As quantum computers promise many advantages over classical computing, comes a question on whether quantum machine learning (QML) can give any improvement in solving the problem. This project aims to demonstrate quantum machine learning's potential, specifically Quantum Generative Adversarial Network (QGAN), in HEP events data generation and classification from image data. Although many previous works have tried to classify images with QGAN, none of them is fully quantum. This project will be aimed at producing new 'accurate' data with a fully quantum implementation of QGAN, along with integrating it with the Physics channel of the LHC e.g. the Higgs-Boson production event.",https://summerofcode.withgoogle.com/programs/2022/projects/QzBcIxrS
"[KerasNLP] Adding Metrics, Decoding Strategies, Model Encoder Blocks and Data Augmentation APIs",Abheesht Sharma,https://befitting-pajama-3af.notion.site/Summer-of-22-My-Time-with-KerasNLP-db8d9403fcc34e739a26922c10988c71,Luke Wood,TensorFlow,"python, tensorflow, keras","machine learning, computational linguistics, natural language processing, deep learning","KerasNLP is a library for building NLP building blocks such as model layers, metrics, tokenizers, text processing/augmentation techniques, etc. I have contributed a few of these modules myself, and would like to contribute more such modules during GSoC. Firstly, I would like to contribute NLP-specific metrics. Here, I plan to implement metrics which are not present in Keras, and which are generally used for NLP tasks. Most of these metrics will be implemented as live training metrics, i.e., they can be input to `model.compile` and computed during training. Hence, the implementation should be ""in graph mode"". The metrics I wish to implement are: BLEU Score, Word Error Rate [WER], Character Error Rate [CER], CHRF, CHRF++ and BLEURT. Secondly, I wish to add functions for decoding strategies. Text Generation is an important problem in NLP. It encompasses tasks like summarisation, machine translation, story generation, etc. During inference, we need to sequentially decode the output of the encoder-decoder model. This is where these utility functions will help users. I plan to implement popular decoding strategies like Random Sampling, Greedy Sampling, Beam Search, top-k Sampling and top-p (nucleus) Sampling. I also want to add model encoder layers. KerasNLP does not aim to build complete models; it aims to build ""building blocks"" from which models can be built. Keeping this in mind, some encoder layers which I aim to implement are (these encoder layers can then be stacked up to form the complete model): Reformer and ConvBERT (or gMLP) encoder blocks. Text augmentation means perturbing the samples in the original dataset to increase the size of the training set. This is where native text augmentation layers can be immensely useful. Backtranslation and Contextual Word Augmentation are methods which I will implement. The above modules are explained in details in the proposal document.",https://summerofcode.withgoogle.com/programs/2022/projects/2zKr5UPe
Design 5 new Themes for WebIU,Abhijay jain,https://github.com/scorelab/GSoC/blob/master/GSoC-2022/09-Abhijay-jain-Design-5-new-Themes-for-WebIU.md,"Charith, Dinith Minura, Davidv",SCoRe Lab,"react, Storybook",web,Building and maintaining a website is an essential task for any business or organization. This project aims to ease the workflow of getting a website up and running by developing reusable Gatsby Components which are easily pluggable to create Gatsby websites with ease. Expected Results Design 5 new themes for Webiu(For 5 different use case) Design and Developing theme module for Webiu Implement new themes in Webiu,https://summerofcode.withgoogle.com/programs/2022/projects/R2NUHUJP
Implement WASI and wasmedge_process host functions on Windows,Abhinandan Udupa,https://github.com/WasmEdge/WasmEdge/issues/1477,hydai,CNCF,"c++, cmake, win32 api","windows, webassembly","WebAssembly has become extremely popular among the developer community lately. It offers near native performance in a browser and is meant to not be a hand written language but to be the compilation target of source languages like C, C++, Rust etc. It provides a way to run code written in multiple languages on the web at near-native speed, with client apps running on the web that previously couldn't have done so. It, being a new language , does not enjoy wide support across platforms. The prospect of having a unified interface for web developers has long been elusive. It has the potential to provide the basis on which many apps can be built and deployed for a huge range of devices from IoT devices to fully fledged servers. But to enable developers to use it we need a WASI runtime ecosystem to support them. WasmEdge is one such project that aims to bring WebAssembly to the edge. To provide a unified interface accross multiple platforms, a interface between WasmEdge and the host operating system has to be built. This interface is specific to the platform on which the runtime is deployed and has to be built individually and specifically for each platform bearing in mind the features available. The native API provided by the OS should be used to implement many of the common operations like file manipulation, IO etc. These 'host functions' are crucial for the project to succeed and have been defined in WASI - the Web Assembly System Interface which is a modular collection of standardised APIs Currently, host specific functions have not been implemented in WasmEdge, for the windows platform. These functions are supposed to be implemented using the Win32 API and have to go rigorous testing before being deployed.",https://summerofcode.withgoogle.com/programs/2022/projects/YRfj0fIn
Analytics Edge Ecosystem Workloads,Abhinav Sharma,https://gsoc-finaleval.netlify.app/,"BWGartner, Brian Fromme",openSUSE Project,"python, docker, kubernetes, bash, devops, virtualization, Blockchain, gitops, Conatinerization, Rancher","kubernetes, Rancher",Provide an opensource-based example deployment of a trained/tested/functional workload available for use cases: -> brainstorm (or research) an end-to-end example approach -> potentially port portions of found examples to another technology aspect -> provide content in a usable GitHub repo example -> peer reviewing of / contributions to a enterprise architecture whitepaper -> publish a blog/demo with an overview of why certain paths were chosen and how it was done,https://summerofcode.withgoogle.com/programs/2022/projects/MNFtN4so
Apache Custos Baremetal Deployment,Abhinav Sinha,https://medium.com/@abhinav7.sinha/gsoc-2022-apache-airavata-final-report-db4e79043c67,"SureshMarru, Isuru Ranawaka, Marlon Pierce",Apache Software Foundation,"python, mysql, postgresql, java, kubernetes, Hashicorp, Velero","cloud, distributed systems, authorization, Security Middleware, Science Gateway, Identity provider, Backup and restore",Although Apache Custos is currently deployed on a Kubernetes cluster - its size and complexity may not be ideal for a relatively small application like Custos. This project aims to develop an alternative deployment architecture for Custos that aims to simplify its deployment and backup process.,https://summerofcode.withgoogle.com/programs/2022/projects/2OPKNrzB
Eye-tracker using deep learning with Python + TensorFlow/Pytorch,Abhinav Venkatadri,https://abhinavvenkatadri.github.io/Eye-tracking-GSoC/,"Suresh, Dinesh",INCF,"python, Android Development","computer vision, deep learning, image processing","Eye tracking has varieties of applications, ranging across usability and user experience research, gaming, driving, and gaze-based interaction for accessibility to healthcare. The smartphone gaze could also provide a digital phenotype for screening or monitoring health conditions such as autism spectrum disorder, dyslexia, concussion, and more. The project idea is to develop an eye tracker using deep learning in Python using TensorFlow/PyTorch. The work was to improve and update a neural network based, state of the art eye tracker",https://summerofcode.withgoogle.com/programs/2022/projects/Xj0jylu3
FluxML - Metalhead.jl development,Abhirath Anand,https://drive.google.com/file/d/1igo5LbqWqdUFNKUrK9VngLQSbLYz9jTl/view?usp=sharing,Kyle Daruwalla,NumFOCUS,julia,"computer vision, deep learning","This project aims to improve the existing deep learning for computer vision ecosystem in Julia, especially by adding more models that users can use without much modification. Metalhead.jl is the package where this project will be working on consolidating all such computer vision models., The goal will be to add models that are both customisable and extensible so that they can be used for tasks such as image classification and semantic segmentation with ease.",https://summerofcode.withgoogle.com/programs/2022/projects/7vJUICs0
Addition of new losses to tensorflow similarity,Abhishar,https://github.com/tensorflow/similarity/pull/286,Yusuf Sarıgöz,TensorFlow,python,"deep learning, metric learning",I propose to add new loss functions which make improvements over the existing ones for metric learning. I also propose to improve documentation and add code examples to show how to make use of this library.,https://summerofcode.withgoogle.com/programs/2022/projects/p8RPezSR
Converting past R Journal articles to HTML,Abhishek Ulayil,https://rpubs.com/Abhi_1U/gsoc-22,"Di Cook, Heather Turner",R project for statistical computing,"r, latex, R-Markdown, rjtools",Tex to HTML,"R Journal team has been developing a new website, which would act as a central repository for all articles in HTML format. Since these past articles were created in PDF format, its not always the best format for digital age interactive websites. Hence the past articles need to be converted into HTML through intermediate conversions.",https://summerofcode.withgoogle.com/programs/2022/projects/8jppNXtC
Optimizing SciML Packages With SimpleChains.jl,abhishekbhatt,https://medium.com/@abhishekbhatt730/simplechains-jl-for-neuralode-and-sciml-fadbe6fee481,"Chris Rackauckas, Elrod, Frank Schäfer",NumFOCUS,"julia, SciML","numerical computing, high performance computing, Scientific Machine Learning","This project aims to develop interfaces for the SimpleChains.jl library for use with SciML packages, so that the former’s non-allocating and high speed neural network layers and chains can make SciML implementations more performant through avoiding huge allocations during training and utilizing optimized kernels. Avoiding heap/runtime allocations in smaller networks (~200 nodes) is a direct way to increase the speed with which the code is executed.",https://summerofcode.withgoogle.com/programs/2022/projects/uy6F1j8l
Non-Determinacy based optimizations in Parallel Programs,Abhishekvu,https://docs.google.com/document/d/1liYazQ0vUg-0faFSi6i9MOi8ME-b6BD-9aD_YJ2JvsM/edit,"Johannes Doerfert, William Moses",LLVM Compiler Infrastructure,c/c++,"compilers, HighPerformanceComputing",Problem : Optimize Parallel Programs by employing Non-Determinacy based optimizations. Plan : 1. Perform static code analysis to identify program points for potential code optimizations. 2. Implement the optimizations as passes which will transform the source of the previously chosen program points. Following are the list of optimizations that are planned. a. Non-deterministic Loop Invariant Code Motion b. Loop interchange/reordering c. Non-deterministic Vectorization d. Non-deterministic Memory to Register 3. Evaluate the generated code for the optimizations against the benchmarks. 4. Documentation and Report a. Document the details with respect to the assumptions in the optimizations. b. Document the relevance of the optimization across the chosen benchmarks. Deliverables : a. Analysis to decide on the program segments to perform optimization b. Optimization passes on the previously chosen code segments. c. Optimization bench marking d. Documentation towards theory and implementation of optimizations,https://summerofcode.withgoogle.com/programs/2022/projects/OewpiPMm
Implementing TAP(TUF Augmentation Proposal) 14 for python’s reference implementation,Abhisman Sarkar,https://github.com/abs007/GSoC-2022,Marina Moore,CNCF,python,Secure Software Updation,Implementing version management for TUF’s python reference implementation. The implementation does not currently have a way to migrate TUF repositories or clients to a new TUF version that has breaking changes. This project will be the implementation of a proposal for coordinating specification versions between a repository and a client to prevent interruptions in access to updates after a major version change to the specification.,https://summerofcode.withgoogle.com/programs/2022/projects/k9PsrJcs
Reachability bitmap improvements,Abhra303,https://medium.com/@abhra303/gsoc-final-report-feaaacfae737,"Kaartic Sivaraam, Taylor Blau",Git,"c, bash","compression, Bitmaps","Git uses bitmaps to speed up the work of knowing which object(trees, blobs, etc.) can be reached from which commit. The current bitmap implementation has several problems. These are - 1) Decompression of bitmaps is slow with EWAH. To know if an object is related to a particular commit, we have to decompress the whole thing. 2. Loading a `.bitmap` file can be slow for large bitmaps. This is because we need to read the file sequentially in order to discover the offset of each bitmap within the file. 3. Regenerating bitmaps can take a long time. 4. If we solve the above points, we would think of other aspects like rethinking how we select which commit receives bitmaps etc. Now there are multiple ways to solve these problems. Point to point solution is given below - 1. There are better and more modern techniques than EWAH for compressing. Roaring+run bitmap can be used as an alternative to EWAH. So that, we can optimize the performance of compressing/decompression. I will also write performance tests to verify that. One possible approach to problem no. 3, is to add a new mode that only adds new bitmaps for commits introduced between successive bitmap generations. To solve problem no. 2, we can create a `table of contents for these bitmaps. Taylor (mentor) has already initiated some work on it. I will finish it.",https://summerofcode.withgoogle.com/programs/2022/projects/UPtA6qdf
Expose Render Blocking Status in Resource Timing,Abin K Paul,https://gist.github.com/abinpaul1/b555321787b7d4b13e1706b9349f3b87,"Yoav Weiss, Hao Liu",Chromium,"javascript, c++, html, css",web,Render blocking nature of resources is important to pre-emptively pinpoint exactly at which point content will be rendered on screen. The render blocking status is currently determined by making use of heuristics to understand which resources block render. The project aims to document in the formal specification the conditions which a resource would block render and provide an API to know the exact classification(with regards to render-blocking) that was done.,https://summerofcode.withgoogle.com/programs/2022/projects/qL0QbWdQ
Cartograms in Grapher,Adesh Nalpet Adimurthy,https://github.com/owid/cartograms/tree/main/documentation,"Daniel Bachler, ikesau",Our World In Data,"python, mysql, javascript","Cartogram, Tilegram","Our World in Data (OWID) strives to make knowledge of global problems accessible and understandable through interactive geographical data visualizations to see how the world has changed over the course of time. A quick and intuitive view of the world map in relation to population makes it easy for viewers to co-relate the effect and the relative measure's gravity. OWID uses a range of choropleth maps, but size-scaled maps have downsides, primarily because human visual perception associates areas with importance. Furthermore, readily available alternatives use mosaic cartograms, which distort the shape of countries. To solve this problem, in a sentence, the primary objective is to plot a visually conclusive world map by illustrating territories/countries using a method for trading off shape and area. The basic idea of the solution is to distort the size-scaled world map while preserving the shape of countries to generate a population-scaled world map. Furthermore, a manually generated population-scaled world map acts as the reference for optimizing the cost function for better results. Finally, an option to rearrange the cells in the grid to nitpick the details yields the final result of the cartogram.",https://summerofcode.withgoogle.com/programs/2022/projects/e4CNvEMk
Call a Friend,AdiCoder,https://github.com/meshenger-app/meshenger-android/tree/GSOC-22_new,"Moritz Warning, dakhnod",freifunk,"android, java, kotlin, webrtc","networking, ipv6, calling","I will be working on converting the app source codes from java to kotlin, I’ll remove the extra features that the mentor suggests to be removed and also have constant discussions about what else can be improved/added in the core functionality of the app. I will work on redesigning the UI of the app to make it easier to use. I will update the webRTC library, investigate the connection bug, do consistent testing to find out if we are missing out on any bugs and at the end make a new release for the app.",https://summerofcode.withgoogle.com/programs/2022/projects/nTkppSfR
Seals Portal,Aditi Singh,https://github.com/Aditi-Singh16/GSoC-22-Report/blob/main/README.md,"Jacob Dahl, situx",Cuneiform Digital Library Initiative (CDLI),"python, javascript, html, css, cakephp, phpMyAdmin","web, Image Annotations","The seals portal aims at displaying all of the resources in the CDLI concerning a seal, aggregated in one place, with important features like viewing image annotations and graphical representation of seals chemistry. The objectives of the project are: Creating the seals portal which lists different CDLI seals as groups i.e. physical, composite, sealings, and all cdli seals for a better user experience. It shows a list of best-attested composite seals along with an image and description. It presents a table containing seals and impressed tablets by period, here the users can view seals grouped by period (name and duration). The seals' single view will display the seal image, a graphical way to present seals' chemical information; this graph can be viewed in a bar chart, pie chart, line chart and can be converted to tabular format. The seals’ single view includes accordions to display physical information, inscription, identifiers, provenience, Composites, Inscriptions, and Chemical information. It also displays Image annotations. This project will also have a standalone converter tool for converting annotations from COCO format to w3c.json format. There will be a bulk update interface to upload annotations to the database the user can upload the annotations in w3c.json or COCO format.",https://summerofcode.withgoogle.com/programs/2022/projects/caFqYFAc
Contribute to KerasCV and KerasNLP,Aditya Kane,https://adityakane2001.github.io/opensource/gsoc2022report,"Sayak Paul, Luke Wood",TensorFlow,"python, tensorflow",machine learning,"This project aims to add several functionalities to Keras-CV which will be of use to beginner as well as seasoned practitioners. I will be contributing various model blocks, augmentation methods and more to the repository. These implementations will be of great help to create a specialized model catering to the user’s specific needs. I intend to complete the following tasks: 1. Implement Stochastic Depth layer 2. Implement RandomResizedCrop KPL 3. Implement RandomColorAffine KPL 4. Implement Squeeze and Excite layer 5. Implement MBConv and FusedMBConv 6. Implement `get_train_test_split()` in Keras",https://summerofcode.withgoogle.com/programs/2022/projects/hkRbtWVD
Beacon (frontend),Aditya Kumar Singh,https://github.com/CCExtractor/beacon,Nishtha Bodani,CCExtractor Development,flutter,mobile,"The existing Beacon Project seeks to create a native flutter interface to make group travel (or, say, hiking) easier. By using this, the group leader or leaders would be able to share their location with the entire crew while leading any hike. And in case someone loses contact with the group, one can quickly get on the right path or location by following the location shared by the leader. This proposal aims to enhance the existing project by adding on some new features like the ‘N’ beacon in 1 group, maintaining the state of the app, the option to change the details of the beacon, relaying beacons, and various other features for a user-friendly and seamless app experience. Along with the additional features, optimization of the app for best performance and stability is of utmost importance.",https://summerofcode.withgoogle.com/programs/2022/projects/2JSHM54Q
Creating Playbooks for IntelOwl,Aditya Narayan Sinha,https://www.honeynet.org/2022/10/06/gsoc-2022-project-summary-creating-playbooks-for-intelowl/,"Matteo Lodi, Ossigeno, Daniele Rosetti, Eshaan Bansal",The Honeynet Project,"python, django, react",security,"I propose working on a new component for IntelOwl this summer - Playbooks which would help people share and run automatically, the exact analyzers/connectors they like on a particular kind of observable. This would help IntelOwl strengthen its community while achieving its goal of helping burnt-out CyberSecurity professionals do their job more easily.",https://summerofcode.withgoogle.com/programs/2022/projects/DRo78WpM
IntelOwl v4 improvements,Aditya Pratap Singh,https://www.honeynet.org/2022/09/26/gsoc-2022-project-summary-intelowl-v4-improvements/,"Matteo Lodi, Ossigeno, Daniele Rosetti, Eshaan Bansal",The Honeynet Project,"python, django, reactjs","web, cybersecurity",Improve existing functionalities and add new ones to IntelOwl for release of v4. - Allow plugin secrets to be stored and managed from GUI #978 - Allow analysis of multiple IOCs in one call #732 - Add support for external authentication methods #121 - Provide navigable JSON result for each analyzer #959 - Add hashes to File_Info analyzer #270 - Allow plugin configurations to inherit (extend) from each other #752 - Allow editing plugin params from the GUI #433,https://summerofcode.withgoogle.com/programs/2022/projects/1gHChanW
